"","art","treatment","phase","Plant_height","SLA","LDMC","Thickness"
"61","Chamaepericlymenum_suecicum","90","pioneer",6.5,133.592110239019,339.996510024204,0.179533333333333
"62","Dactylorhiza_maculata","0","building",6,343.590994648139,122.445448949214,0.144333333333333
"63","Dactylorhiza_maculata","50","building",16.4,335.804957456936,103.011910112285,0.242533333333333
"64","Dactylorhiza_maculata","50","pioneer",10.2,241.737439229818,159.090394553664,0.242266666666667
"65","Dactylorhiza_maculata","90","pioneer",11.5,182.454319078698,138.080774516211,0.284866666666667
"66","Danthonia_decumbens","0","building",24,148.30912889215,369.515218070418,0.150777777777778
"67","Danthonia_decumbens","0","pioneer",5.6,88.0555746709618,427.505293773615,0.1676
"68","Danthonia_decumbens","50","pioneer",27.6,125.660236645667,469.516753393207,0.1672
"69","Empetrum_nigrum","0","mature",22.3,89.9159790701582,428.422880730165,0.192033333333333
"70","Empetrum_nigrum","0","pioneer",9.6,61.5987285603647,443.939619317186,0.2468
"71","Empetrum_nigrum","50","building",14.6,178.672563417715,341.118518546327,0.228066666666667
"72","Empetrum_nigrum","50","mature",15.6,102.798932970064,575.26513353938,0.126733333333333
"73","Empetrum_nigrum","50","pioneer",7.2,69.7863727072935,491.916916142658,0.2376
"74","Empetrum_nigrum","90","building",15.7777777777778,111.647512674481,422.978449951061,0.1896
"75","Empetrum_nigrum","90","mature",13.8,82.6880929392451,525.87607525208,0.172533333333333
"76","Empetrum_nigrum","90","pioneer",11.8666666666667,76.5539428215587,449.404073591344,0.229866666666667
"77","Erica_tetralix","0","building",27.8888888888889,81.6670347142674,507.290795441173,0.192518518518519
"78","Erica_tetralix","0","mature",29.4545454545455,84.5381326518318,475.227002150387,0.199969696969697
"79","Erica_tetralix","0","pioneer",9.11111111111111,81.2942787168927,463.585921042209,0.174296296296296
"80","Erica_tetralix","50","building",22.5,81.4100883370778,513.898254213617,0.161296296296296
"81","Erica_tetralix","50","mature",20.5,89.6383951995874,532.796617838805,0.135866666666667
"82","Erica_tetralix","50","pioneer",12.4666666666667,79.7104362109919,470.773811305745,0.217422222222222
"83","Erica_tetralix","90","building",26.8,83.9832572787269,493.874916076439,0.1774
"84","Erica_tetralix","90","mature",22.4,86.5568489579321,570.260455053468,0.169693333333333
"85","Erica_tetralix","90","pioneer",16.7,38.9397661616171,453.98303756648,0.238866666666667
"86","Eriophorum_angustifolium","0","mature",17.6,96.9350615875785,374.191315242487,0.313733333333333
"87","Festuca_vivipara","0","building",16,102.423203630794,341.336871297709,0.215733333333333
"88","Festuca_vivipara","0","mature",6,66.5801427644387,345.593182327876,0.256
"89","Festuca_vivipara","0","pioneer",9.42857142857143,72.3887448572072,387.29760437055,0.213904761904762
"90","Festuca_vivipara","50","pioneer",11.5,83.7313847916936,417.563787521397,0.209666666666667
"91","Festuca_vivipara","90","pioneer",17.6923076923077,92.6453595348376,368.653031511469,0.206230769230769
"92","Galium_saxatile","0","building",15.8,500.616490663415,167.250867809271,0.083
"93","Galium_saxatile","0","pioneer",1.8,303.65179481395,285.922643698001,0.0642333333333333
"94","Galium_saxatile","50","building",4.8,378.48349080221,243.783361149855,0.0922666666666667
"95","Galium_saxatile","50","pioneer",3,267.49295563713,269.951780942954,0.0938148148148148
"96","Galium_saxatile","90","mature",4.4,287.079333461697,340.684029071618,0.0616
"97","Galium_saxatile","90","pioneer",2.8,218.392843510705,229.06937407916,0.128533333333333
"98","Juncus_squarrosus","0","mature",26,70.0641835715996,314.151368384821,0.308833333333333
"99","Juncus_squarrosus","50","mature",14,77.452618689223,387.863087608055,0.257083333333333
"100","Lotus_corniculatus","0","building",10,252.285714285714,243.055555555556,0.134333333333333
"101","Lotus_corniculatus","0","pioneer",8.2,82.7858007686445,289.870740196088,0.147
"102","Lotus_corniculatus","50","building",24.4,205.542288068364,242.429968643896,0.213466666666667
"103","Lotus_corniculatus","90","pioneer",4,221.773249690887,262.129863893836,0.1285
"104","Luzula_multiflora","0","building",37,250.937689050212,239.634676717889,0.162666666666667
"105","Luzula_multiflora","0","mature",15,68.1913407821229,294.014988194231,0.241333333333333
"106","Luzula_multiflora","0","pioneer",18.8,151.391751435542,305.749611468389,0.159133333333333
"107","Luzula_multiflora","50","pioneer",12.2,163.434835572205,360.976962704707,0.136066666666667
"108","Luzula_multiflora","90","building",3.6,183.022435491619,371.67338214596,0.166933333333333
"109","Luzula_multiflora","90","pioneer",8.4,202.713877768044,355.654552466104,0.145733333333333
"110","Luzula_pilosa","0","building",9.8,217.555390573791,284.821793927526,0.158466666666667
"111","Luzula_pilosa","50","mature",35.4,102.464558907679,443.265568514264,0.105866666666667
"112","Luzula_pilosa","90","pioneer",10.5,128.008642682857,303.205701940869,0.1707
"113","Molinia_caerulea","0","mature",26.6,97.2503975551119,429.763845194036,0.130333333333333
"114","Molinia_caerulea","50","building",49.8,61.6709097012704,728.573065397815,0.163266666666667
"115","Molinia_caerulea","50","mature",41.7777777777778,110.53328625536,538.153893221163,0.158962962962963
"116","Molinia_caerulea","90","building",43.6666666666667,76.258342931674,403.296632307622,0.219833333333333
"117","Molinia_caerulea","90","mature",39.6,104.8460291025,545.201612906112,0.1566
"118","Nardus_stricta","90","mature",10.8571428571429,57.2623449922627,753.04898696184,0.217142857142857
"119","Narthecium_ossifragum","50","mature",22.6666666666667,155.570142305094,306.688209408834,0.345333333333333
"120","Pedicularis_sylvatica","0","building",4,204.635261957765,196.675522677034,0.0596666666666667
"121","Pedicularis_sylvatica","0","pioneer",3,143.059122690644,193.421014764045,0.164066666666667
"122","Pedicularis_sylvatica","50","building",9,208.600130567435,396.189827351552,0.0691416666666667
"123","Pedicularis_sylvatica","50","pioneer",7.5,127.880114424411,193.657281898763,0.139
"124","Poa_pratensis","0","pioneer",11.2,80.7286735949716,449.259871382977,0.162066666666667
"125","Polygala_vulgaris","90","pioneer",6,261.85977815939,273.995956289841,0.173333333333333
"126","Potentilla_erecta","0","building",8.8,259.259067928549,444.982659014392,0.0857666666666667
"127","Potentilla_erecta","0","mature",14,275.362960463305,364.134422935105,0.0824
"128","Potentilla_erecta","0","pioneer",3.6,145.948841141027,367.241273071244,0.123755555555556
"129","Potentilla_erecta","50","building",17.4,276.437093211014,441.51314337798,0.0798444444444444
"130","Potentilla_erecta","50","mature",12.7,247.301501067196,474.039786942,0.0768333333333333
"131","Potentilla_erecta","50","pioneer",4.73333333333333,177.628538446719,454.527413570199,0.127444444444444
"132","Potentilla_erecta","90","building",10.2666666666667,275.91569436265,387.750176713577,0.0934
"133","Potentilla_erecta","90","mature",9.6,236.90947796506,551.754665970148,0.0770333333333333
"134","Potentilla_erecta","90","pioneer",6.86666666666667,174.046937635134,391.82596468072,0.133888888888889
"135","Salix_sp","90","mature",20.4,145.149144679133,383.535585945623,0.153666666666667
"136","Trichophorum_cespitosum","0","building",36.2857142857143,76.1823926036145,418.214115834093,0.314977777777778
"137","Trichophorum_cespitosum","0","pioneer",14,35.5011535068156,413.295138016146,0.369916666666667
"138","Trichophorum_cespitosum","50","building",29.8571428571429,72.1748950104116,412.215279333525,0.313095238095238
"139","Trichophorum_cespitosum","50","mature",29.1,67.4084057433259,402.215123283313,0.253166666666667
"140","Trichophorum_cespitosum","90","building",20.6666666666667,76.9481764638013,408.259409335629,0.286666666666667
"141","Trichophorum_cespitosum","90","mature",39.6,62.9766671205384,391.185552809084,0.304866666666667
"142","Trichophorum_cespitosum","90","pioneer",18.2,45.8990395309929,389.0225654988,0.299333333333333
"143","Trientalis_europea","0","building",9.72727272727273,351.840281963276,291.985636350276,0.109151515151515
"144","Trientalis_europea","0","pioneer",3.73333333333333,158.628626331935,376.069552175891,0.132822222222222
"145","Trientalis_europea","50","building",10.8,374.795685426588,348.38479924444,0.102266666666667
"146","Trientalis_europea","50","pioneer",4.92857142857143,277.415630152197,342.948934597344,0.109355555555556
"147","Trientalis_europea","90","building",9.9,482.203799783135,479.883096334902,0.0617
"148","Trientalis_europea","90","mature",8.44444444444444,385.630177763688,284.333184561569,0.0768888888888889
"149","Trientalis_europea","90","pioneer",5.46666666666667,164.549536775441,306.561710023855,0.1396
